1576538557124,0000,0000,0,-1
1576538557568,0000,0000,0,1
1576538557578,0000,0000,0,2
1576538557584,0000,0000,0,1
1576538557594,0000,0000,1,1
1576538557608,0000,0000,0,1
1576538557922,0000,0000,1,0
1576538557932,0000,0000,3,-2
1576538557936,0000,0000,4,-2
1576538557946,0000,0000,4,-2
1576538557956,0000,0000,5,-1
1576538557962,0000,0000,4,-2
1576538557972,0000,0000,5,-1
1576538557976,0000,0000,5,-1
1576538557986,0000,0000,3,0
1576538557996,0000,0000,4,-1
1576538558002,0000,0000,4,-1
1576538558012,0000,0000,5,0
1576538558016,0000,0000,5,-1
1576538558026,0000,0000,6,-2
1576538558038,0000,0000,7,0
1576538558042,0000,0000,8,-2
1576538558052,0000,0000,9,-1
1576538558058,0000,0000,15,-2
1576538558068,0000,0000,10,-1
1576538558078,0000,0000,11,-2
1576538558082,0000,0000,11,-1
1576538558092,0000,0000,12,-2
1576538558098,0000,0000,11,-2
1576538558108,0000,0000,11,-1
1576538558118,0000,0000,9,-2
1576538558122,0000,0000,8,-2
1576538558132,0000,0000,7,-1
1576538558138,0000,0000,4,-1
1576538558148,0000,0000,3,-1
1576538558158,0000,0000,1,0
1576538558164,0000,0000,1,0
1576538558174,0000,0000,2,-1
1576538558178,0000,0000,1,0
1576538558188,0000,0000,3,0
1576538558198,0000,0000,2,0
1576538558204,0000,0000,3,0
1576538558214,0000,0000,3,0
1576538558218,0000,0000,4,0
1576538558228,0000,0000,4,0
1576538558238,0000,0000,4,0
1576538558244,0000,0000,3,0
1576538558254,0000,0000,2,0
1576538558260,0000,0000,3,0
1576538558270,0000,0000,2,1
1576538558280,0000,0000,2,3
1576538558284,0000,0000,3,3
1576538558294,0000,0000,3,5
1576538558300,0000,0000,3,5
1576538558310,0000,0000,3,7
1576538558320,0000,0000,4,7
1576538558324,0000,0000,4,6
1576538558334,0000,0000,3,7
1576538558341,0000,0000,3,6
1576538558350,0000,0000,2,6
1576538558360,0000,0000,1,5
1576538558364,0000,0000,1,6
1576538558374,0000,0000,0,5
1576538558380,0000,0000,1,3
1576538558390,0000,0000,0,2
1576538558400,0000,0000,0,1
1576538560760,0000,0000,-2,-5
1576538560766,0000,0000,-4,-8
1576538560776,0000,0000,-4,-8
1576538560780,0000,0000,-6,-10
1576538560790,0000,0000,-9,-10
1576538560802,0000,0000,-9,-10
1576538560806,0000,0000,-9,-9
1576538560816,0000,0000,-9,-8
1576538560823,0000,0000,-4,-3
1576538560832,0000,0000,-3,-2
1576538560842,0000,0000,-3,-2
1576538560846,0000,0000,-3,-2
1576538560856,0000,0000,-3,-3
1576538560862,0000,0000,-5,-4
1576538560872,0000,0000,-6,-6
1576538560882,0000,0000,-6,-9
1576538560886,0000,0000,-8,-11
1576538560896,0000,0000,-9,-13
1576538560902,0000,0000,-11,-13
1576538560912,0000,0000,-8,-10
1576538560922,0000,0000,-5,-9
1576538560928,0000,0000,-3,-7
1576538560938,0000,0000,-2,-5
1576538560942,0000,0000,-3,-4
1576538560952,0000,0000,-2,-4
